#,submission #,number,version,text,scores,total score,reviewer person #,date,time,attachment?
18,1554,1,1,"(OVERALL EVALUATION) The paper introduces and interesting comparative study between several ML algorithms to predict the turbulent hydrogen jet caused by hydrogen leakage in the air.

However, there are some comments that need to be addressed by the author.

1. In the introduction, change ""The relative effectiveness of machine learning algorithms in predicting must be accurately estimated by decreasing various loss functions, namely squared errors."" to ""The relative effectiveness of machine learning algorithms in predicting must be accurately estimated by decreasing various loss functions, (mainly) the squared errors.""

2. I believe that the statement ""An empirical-analytical-numerical model is used to build an artificial dataset."" is too complicated to be understood, unless justified or supported by a reference.

3. In the subsection ""A. Random Forest"", remove the repeated ""the"" from ""the The random forest ensemble learning technique may solve"" and add a period after the word ""ensemble"" in ""help of several decision trees working together as an ensemble,"".

4. I suggest rephrasing this ""Adding a portion of the previous weight change to the current weight change is employed to smooth out the optimization process."" in the subsection ""B. Artificial Neural Networks"".

5. Write ""Mean-absolute error (MAE), R-squared, mean squared error (MSE), and root mean square error (RMSE) are the assessment metrics used to assess machine learning models."" instead of ""Mean-absolute error (MAE), R-squared, mean squared error (MSE), and root mean square error are the assessment metrics
used to assess machine learning models (RMSE)."".

6. It is better to use the abbreviations MAE, MSE and RMSE, after they have been defined for the first time.

7. Try to be consistent when talking about R-squared. The author sometimes mentioned R-squared and sometimes R^2.

8. In the paragraph before the section ""IV. DATASET ANALYSIS"" , rewrite ""The R squared value ranges between 0 for no-fit and 1 for perfect fit; for example, with a value similar to zero and less than 0.5,
the forecasts have a bad match to the actual values."" as ""The R squared value ranges from 0, corresponding to complete mismatch between the actual and predicted values, to 1, corresponding to the perfect prediction.""

9. What are the percentages (25%, 50% and 75%) in TABLE I? As understood from the paragraph after ""A. Dataset Pre-processing Analysis"", I assume that the are the 25th, 50th and 75th percentiles. If this is the case, then write P25, P50 and P75, or Q1, Q2 and Q3, respectively.

10. If point 9. above is valid, please justify the significant discrepancy between the mean and the 50th percentile for ""u0"" and ""c"". This is surprising for me. You just need to comment on this point right after the table.

11. I believe that the max of ""c"" should not be ""1"". Also, the P75 is unusual to be less than the mean.

12. The figure are fine but just drag the last figure and put it before ""References"" and not among them.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I believe that the paper needs minor changes. But the author needs to check again the values of Table 1, the last column, which are for the parameter ""c"".","Overall evaluation: 2
Reviewer's confidence: 4",2,122,1/12/2023,10:11,no
19,1554,2,1,"(OVERALL EVALUATION) The paper experimented four different machine learning models to predicte hydrogen leakage in the air. The author used python scikit-learn library to perform the models. They proved that DT and RF models proved to give better results than the rest. The paper needs some minor updates as 
- give some details of the six generated datsets as mentioned in the conclusion that need to be mentioned in section IV.
- add a table with all output evaluation values for a better comarison rather than just having them in the graphs caption.","Overall evaluation: 2
Reviewer's confidence: 4",2,45,1/13/2023,19:01,no
20,1583,1,1,"(OVERALL EVALUATION) This paper describes the development and use of an e-pharmacy mobile application that allows users to search for medicinal products and nearby pharmacies. The app also provides information about available offers and pricing for the various medicinal products. The authors mention the increasing use of smartphones and mobile applications in the business world, as well as the rise in the use of the internet for health information. They also discuss the potential benefits of mobile health applications for healthcare providers and patients. Overall, the paper provides an overview of the e-pharmacy app and its potential usefulness for users. To complete the manuscript, the author needs to investigate the following:

1- A scientific paper should include a concise and factual abstract including the research question, the methodology used, the results obtained, these components are missing from teh abstract

2- the Objective is not indicated, it need  explicitly said along with teh research question.
The author have  section PROBLEM STATEMENT but the research question is not clear,

3- The author needs to Highlight clearly the relationship between the topic discussed in the manuscript and its relation to  Metaverse.

4. In SYSTEM DESIGN  section, it is not clear if it is done by the author or is based on literature review. There is no name of the App nor how it is built, and no refs

5. There are no refs in pages 5, 6, 7

6. The paper should not exceed 6 pages

7. Use clear and concise language. Avoid using complex or unnecessary words and phrases. I suggest to 
Edit and proofread your writing to ensure that it is free of errors and typos.

8. While this paper addresses some interesting ideas, I strongly advice the authors do link the study to METAVERSE, as it is now it is not directly related to the topic of metaverse. In order to make it more relevant, I would recommend making significant changes to its focus and content.

9. I strongly advise the authors to follow the standard format and structure of a scientific paper.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) While this paper addresses some interesting ideas, I strongly advice the authors do link the study to METAVERSE, as it is now it is not directly related to the topic of metaverse. In order to make it more relevant, I would recommend making significant changes to its focus and content.

""I have concerns about the way this paper has been written. It does not seem to follow the standard format and structure of a scientific paper.""","Overall evaluation: 1
Reviewer's confidence: 4",1,78,12/9/2022,14:32,no
23,1583,2,3,(OVERALL EVALUATION) The authors suggested Pharmacy Assistant Mobile Application for patients to search for drugs in the near by pharmacies. The paper provides software engineering specification and software requirement listing. The paper doesn't relate to metaverse as a subject.,"Overall evaluation: 0
Reviewer's confidence: 4",0,45,1/19/2023,13:18,no
24,2165,1,1,"(OVERALL EVALUATION) The authors study the education future in the metaverse. The topic is very related to the conference theme. However, the results and the discussion of the paper is not deep.

I weakly recommend accepting the paper.","Overall evaluation: 1
Reviewer's confidence: 3",1,39,12/15/2022,9:49,no
25,2165,2,1,(OVERALL EVALUATION) The paper is a literature review with no clear Contribution .,"Overall evaluation: 0
Reviewer's confidence: 3",0,15,1/2/2023,20:25,no
26,3087,1,1,"(OVERALL EVALUATION) Thank you for submitting your manuscript for consideration at our conference on the theme of the metaverse. We appreciate the time and effort you have put into your research and writing.
While your research on machine learning and its applications in human activity patterns is certainly interesting and valuable, it does not align with the theme of the metaverse that our conference is focusing on. After careful review, the manuscript is not accepted to be presented in this conference.

We apologize for any inconvenience this may cause, and we encourage you to consider submitting your work to other conferences or journals that may be more suited to your research interests.

Sincerely,

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Not related to the theme of the conf.","Overall evaluation: -2
Reviewer's confidence: 5",-2,120,1/1/2023,20:22,no
27,3087,2,1,"(OVERALL EVALUATION) The paper presented a model for simulating walking (activities) in virtual space of human activities using AI based models. The paper is very interesting and is a direct transformation of space into virtual reality. However, the paper needs more details in the introduction and methodology to explain in some details the problem definition and the model used.
The work is great however need to relate to the conference scope, by adding goals to use images to digitize the objects to be used in virtual reality to relate to the conference. 
Also, need to comply with IEEE format.","Overall evaluation: 2
Reviewer's confidence: 4",2,,1/8/2023,8:26,no
28,3182,1,1,"(OVERALL EVALUATION) This manuscript attempts to implement machine learning algorithms to estimate nanoparticle concentrations in a porous medium using DT, RF, GBR, and ANN machine learning techniques.
This is an interesting paper as it creates its own dataset then uses machine learning. These are some comments on the manuscript

1. The Four machine learning algorithms, DT, ANN, GBR, and RF, used should be indicated in the abstract
2. Why select only those 4 algorithms? needs some clarification
3. The author indicates that the equations are derived from ref [6], however, those in [6] are different, compare your equations (2) to (4) with 2-5 and 2-6 of ref [6]. Please clarify
4. Any difference between fig 5.8 of Ref [6] and your figure 1? Ref [6] shows a comparison with experimental data as in figure 5.9
5. The author says ""tanh activation function was used as it gave a better performance than ReLu and sigmoid activation functions with 15 neurons in each of the three hidden layers"". Based on what you stated that it gave a better result?
6. The scale in fig 5 does not seem to be defined.
7. NOt clear what is the utility of showing the contour plot of the algorithms, and why not ANN? The author says ""Fig. 5 illustrates the 2D and the 3D contour plots of DT, RF, and GBR models."" without indicating the relation to the ML prediction or the Prediction for Nanoparticles Transport Behavior in Porous media
8. In the figure caption it says ""predicted nanoparticles concentrations of DT, RF, GBR, and ANN models"".
It should be predicted nanoparticles concentrations using DT, RF, GBR, and ANN models.
Define the x and y-axis in the figures, for example, fig 1 should be ""concentration"" and ""Pore Volume""
I suggest reviewing all the captions of figures and tables.
9. Fig 1 says ""simulated outcomes"" what is this outcome?
10. Add ref for the experimental data
11. Please use Grammarly
I am not sure about the selection of the title of the manuscript, the content of the study is
the estimation of nanoparticle concentrations in a porous medium using machine learning. It is suggested to review this part or review the conclusion.
In the abstract, the manuscript stresses on generating artificial datasets, but the conclusion stresses estimating nanoparticle concentrations in a porous medium. The title, however, talks about ""Prediction for Nanoparticles Transport Behavior"". I suggest reviewing these parts, they need to complete each other.","Overall evaluation: 2
Reviewer's confidence: 4",2,78,1/21/2023,4:48,no
29,3218,1,1,(OVERALL EVALUATION) The submission is not in a paper format and the outcomes are weak.,"Overall evaluation: -1
Reviewer's confidence: 3",-1,39,12/15/2022,9:55,no
30,3218,2,1,"(OVERALL EVALUATION) There is no article just a summary, aim and objectives","Overall evaluation: -1
Reviewer's confidence: 4",-1,123,12/17/2022,19:00,no
31,3437,1,1,"(OVERALL EVALUATION) The topic is very actual and the results of the study of using AR to improve nutritional education could be very interesting for the researchers. Unfortunately, the document is presented as a poster presentation. We suggest to review the formatting requirements of the conference. This will need to add a literature review section and also separate sections to present the methods, results, discussion and conclusions. In the present form the paper can not be accepted to be presented and published in the conference proceeding.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Dear colleagues,
Thank you for your invitation to be member of the scientific committee of L&T Conference 2022.
For the paper 3437 the result could be easily changed from rejection to acceptance if the authors will provide an extended version (matching the formatting requirements) of the document already uploaded. The topic is actual and the results are interesting.
Best regards,
Andreea","Overall evaluation: -1
Reviewer's confidence: 4",-1,124,12/27/2022,18:46,no
32,3437,2,1,"(OVERALL EVALUATION) This research paper is about Using Augmented Reality To Improve Nutritional Educational
For Type 1 Diabetic Children and Adolescents Quantitative study of Patient Knowledge Retention

IT provides a meaningful case study for the study of the adoption of AR in Educational Settings. I strongly recommend the acceptance of this paper. 

COuple of minor suggestions for minor enhancements:

1. Update the LR with recenlty published works in 2022 relatyed to Metaverse potential in Education
2. Communicate the metaphors of your AR approach to other domains than educational
3. Expand your discussion on the current limitations of MEtaverse to Education settings

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This is an excellent contribution to the agenda of the L&T conference. I strongly recommend acceptance.","Overall evaluation: 3
Reviewer's confidence: 5",3,125,12/29/2022,9:27,no
33,3485,1,1,"(OVERALL EVALUATION) This paper discusses a very important recent point.

This paper using massive MIMO.

This paper produces adaptive technique that maximizes energy efficiency at full spectral efficiency.","Overall evaluation: 3
Reviewer's confidence: 4",3,126,1/9/2023,14:54,no
34,3485,2,1,"(OVERALL EVALUATION) 1. The conclusion is a bit short, the authors should elaborate more about their proposed work.
2. The references are not up to date, there should be at least one reference from the past year (2022), the most recent reference they cited is 3 years ago.
3. Figures' quality should be enhanced.
4. Equations are taken as screenshots, they should be written.
5. Figures and tables captions are not proper, the authors should rewrite the captions again.
6. There is no discussion in the paper, there is no justifying for the proposed results.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I recommend acceptance of the paper once the authors have made the comments above.","Overall evaluation: 2
Reviewer's confidence: 4",2,127,1/9/2023,20:58,no
35,3792,1,1,"(OVERALL EVALUATION) Many parts of a scientific paper are missing in this manuscript including references in the text and the abstract. The study presents a teaching technology toolkit (3T)and the result of a survey based on a questionnaire. In the result, the author indicates that 52% of lecturers agreed and 28% of lecturers strongly agreed that this toolkit is useful.
Since many parts are missing it is difficult to follow what the author wants to present in this study.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Since many parts are missing it is difficult to follow what the author wants to present in this study.","Overall evaluation: 0
Reviewer's confidence: 4",0,,1/21/2023,4:39,no
36,4011,1,1,"(OVERALL EVALUATION) Thank you for submitting your manuscript to L&T2023. I appreciate the effort that went into working on 
Profit Sharing Game for Metaverse Applications. While it is difficult to go deep in the review and take a final decision on the abstract only, it sounds like the author is describing a profit-sharing game in which Metaverse users can contribute their computing resources to process jobs and earn rewards. The author mentioned that the goal is to maximize the total reward for all users, but that selfish behavior can lead to suboptimal allocations. The author also mention that the optimal allocation is always a Nash equilibrium, and propose an algorithm for finding it. 
Unfortunately, there was no full manuscript attached. As for now, the manuscript is ""Weak Accept"", the status will be updated once the full paper is sent.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Unfortunately, there was no full manuscript attached. As for now, the manuscript is ""Weak Accept"", the status will be updated once the full paper is sent.","Overall evaluation: 1
Reviewer's confidence: 4",1,120,1/1/2023,20:51,no
37,4086,1,1,"(OVERALL EVALUATION) Thank you for sending us your summary. While we appreciate the time and effort you put into summarizing your work, we are unable to consider it for publication without a complete manuscript. In order to make a fair and informed decision, we require a thorough review of the entire paper. We hope you understand and look forward to potentially reviewing your full paper in the future. 

If you decide to send the full paper you must show the relationship between your topic and the METAVERSE

Thank you

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) NO full paper.
 In order to make a fair and informed decision, we require a thorough review of the entire paper.","Overall evaluation: 0
Reviewer's confidence: 4",0,78,12/10/2022,9:25,no
38,4086,2,1,"(OVERALL EVALUATION) This is only abstract submission.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I wonder if the students will submit the full paper later","Overall evaluation: 0
Reviewer's confidence: 3",0,39,12/15/2022,9:58,no
39,4086,3,1,"(OVERALL EVALUATION) Thank you for submitting your manuscript to L&T2023. I appreciate the effort that went into working on
""Impact of Chatbot on Current Applications"".

The manuscript is missing key components that would typically be included in a more comprehensive analysis. For example, no problem statement, no research question, no references in the introduction or references not related, no specific indication about the survey, no details about the limitations of the technology or potential downsides of using a chatbot like ChatGPT, etc. 
The abstract is missing many components. To structure your abstract it is important to include all components, Introduction, Objective, Methods, Results with a summary of your key findings, and finally
why/how your findings contribute to the fields.

The language used is informal, and lacks specific data or experiments that can support the claims. This makes it hard to ascertain the credibility of the author's claims and the level of accuracy of the information being shared. Proper referencing would be an important component to acknowledge and credit the work of other researchers, and to further enhance the credibility of the author's analysis.
Same problem with the figures, tables, etc.

It is also worth noting that the GPT-3.5 model mentioned in the introduction is not a real model and the author may be referring to some version of GPT-3 that is not official. Besides, the introduction has many missing components. 

The lack of adherence to academic standards and the lack of relevance to the topic of Metaverse, I would recommend rejecting this paper as a source of information. It is important to use credible, well-written and referenced sources when conducting research in any field, and this paper does not meet these standards.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) There a lack of adherence to academic standards fin this manuscript.","Overall evaluation: -2
Reviewer's confidence: 4",-2,128,1/11/2023,19:12,no
41,4306,1,2,"(OVERALL EVALUATION) The paper uses machine larning to detect hate tone in English speech. The authors used the Kaggle datset and compared between different ML research for the same dates. They used Autoencoder and Random Forest to classify hate speech, the proposed model description is shallow and needs better explanation.
Comments:
-The paper is not in IEEE format, 
-References need more recent ones to be added","Overall evaluation: 1
Reviewer's confidence: 5",1,,1/18/2023,9:10,no
42,4306,2,1,"(OVERALL EVALUATION) This manuscript presents two models to detect hate speech on twitter. For skewed datasets like this, accuracy is not a good measure. Precision and recall should be reported. The paper seems very rushed with little effort put in the figures and results. For instance, it is not clear from Fig 3 what is being reported. References are also in need of updating. 

“Combinate” is a typo in the abstract. There are other similar mistakes in the paper body that need fixing.","Overall evaluation: -2
Reviewer's confidence: 4",-2,129,1/3/2023,5:32,no
43,4306,3,1,"(OVERALL EVALUATION) In this paper, two proposed approaches to detect hate speech on twitter are discussed.   The first one is a traditional approach using random forest model and the second one with the autoencoder as a deep learning model combined with random forest model. The topic is important. Please note the following:
1.	The abstract needs revision especially with the accuracy and the corresponding model and dataset.  
2.	The authors performed a comparison with previous work, which should be mentioned in the abstract.
3.	The privacy and Ethics should be also discussed in this research","Overall evaluation: 2
Reviewer's confidence: 3",2,15,1/3/2023,7:21,no
44,4357,1,1,"(OVERALL EVALUATION) The paper describes the use of blockchain technology for achieving privacy of healthcare data of patients. The authors mention that blockchains are used to give full control over their data with low throughput. None of these has anything to do with privacy since blockchains do not guarantee “full control” anyway. There is little motivation to use public blockchains as the healthcare data is put in the IPFS in encrypted form. So, there is little motivation to use the blockchain in the first place. Just encrypting data in a centralized server achieves the same result. Literature presented is also of low quality and would benefit from a more thorough study of the previous works.","Overall evaluation: -1
Reviewer's confidence: 4",-1,129,1/3/2023,5:29,no
46,4357,2,2,"(OVERALL EVALUATION) The  plagiarism is high 50%. 
The quality of the figures is poor.

It should be connected to the metaverse concept.","Overall evaluation: 1
Reviewer's confidence: 4",1,,1/8/2023,7:33,no
47,4500,1,1,(OVERALL EVALUATION) No paper just abstract,"Overall evaluation: -3
Reviewer's confidence: 1",-3,7,1/2/2023,6:53,no
49,4701,1,2,"(OVERALL EVALUATION) Overall the manuscript trying to discuss the security and privacy in the Metaverse by providing some overview of the Metaverse and its various applications, as well as the security and privacy challenges that come with it.
It should be noted that the manuscript is not written in the standard format of a scientific paper, which typically includes a more detailed abstract, introduction, literature review, methodology, results, and conclusion sections. It also does not have the level of detail, structure and references that a scientific paper usually have.

It is not clear from the abstract what specific Metaverse platform the article is discussing and what specific security and privacy methods, tools, and vulnerabilities will be analyzed. The abstract does not follow a standard of a scientific paper.

The methodology should describe the specific methods and procedures used in the research study, such as the research design, data collection methods, data analysis techniques, and any statistical or computational methods used. What you are presenting in section III is not a ""methodology"".

Results and discussion are missing from the manuscript.

 The manuscript must be improved to be at the level of a scientific paper.

-------------------------------------------------------------------
_________________
Thank you for sending us your paper. The article discusses the security and privacy measures in place for the Metaverse platform, as well as potential vulnerabilities and how to address them.
We appreciate the effort you put into summarizing your work. However, we are unable to accept summaries without the full paper as we require a thorough review of the complete work in order to make a decision on publication. Thank you for understanding.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) Jan 18:
 The manuscript must be improved to be at the level of a scientific paper.
----------

we are unable to accept summaries without the full paper as we require a thorough review of the complete work in order to make a decision on publication. Thank you for understanding.","Overall evaluation: 1
Reviewer's confidence: 4",1,78,1/18/2023,13:51,no
